Authors,PubDate,Title,Abstract,IDlist
"['Nina Dresing', 'Frederic Effenberger', 'Raul Gomez-Herrero', 'Bernd Heber', 'Andreas Klassen', 'Alexander Kollhoff', 'Ian Richardson', 'Solveig Theesen']",2019-12-21T15:32:52Z,Statistical results for solar energetic electron spectra observed over   12 years with STEREO/SEPT,"  We present a statistical analysis of near-relativistic (NR) solar energetic electron event spectra near 1au. We use measurements of the STEREO Solar Electron and Proton Telescope (SEPT) in the energyrange of 45-425 keV and utilize the SEPT electron event list containing all electron events observed bySTEREO A and STEREO B from 2007 through 2018. We select 781 events with significant signal tonoise ratios for our analysis and fit the spectra with single or broken power law functions of energy.We find 437 (344) events showing broken (single) power laws in the energy range of SEPT. The eventswith broken power laws show a mean break energy of about 120 keV. We analyze the dependence ofthe spectral index on the rise times and peak intensities of the events as well as on the presence ofrelativistic electrons. The results show a relation between the power law spectral index and the risetimes of the events with softer spectra belonging to rather impulsive events. Long rise-time events areassociated with hard spectra as well as with the presence of higher energy (>0.7 MeV) electrons. Thisgroup of events cannot be explained by a pure flare scenario but suggests an additional accelerationmechanism, involving a prolonged acceleration and/or injection of the particles. A dependence of thespectral index on the longitudinal separation from the parent solar source region was not found. Astatistical analysis of the spectral indices during impulsively rising events (rise times<20 minutes) isalso shown. ",1912.10279v1
"['Tobias Wiengarten', 'Jens Kleimann', 'Horst Fichtner', 'Patrick Kühl', 'Andreas Kopp', 'Bernd Heber', 'Ralf Kissmann']",2014-06-02T08:46:48Z,Cosmic Ray Transport in Heliospheric Magnetic Structures: I. Modeling   Background Solar Wind Using the CRONOS MHD Code,"  The transport of energetic particles such as Cosmic Rays is governed by the properties of the plasma being traversed. While these properties are rather poorly known for galactic and interstellar plasmas due to the lack of in situ measurements, the heliospheric plasma environment has been probed by spacecraft for decades and provides a unique opportunity for testing transport theories. Of particular interest for the 3D heliospheric transport of energetic particles are structures such as corotating interaction regions (CIRs), which, due to strongly enhanced magnetic field strengths, turbulence, and associated shocks, can act as diffusion barriers on the one hand, but also as accelerators of low energy CRs on the other hand as well. In a two-fold series of papers we investigate these effects by modeling inner-heliospheric solar wind conditions with a numerical magnetohydrodynamic (MHD) setup (this paper), which will serve as an input to a transport code employing a stochastic differential equation (SDE) approach (second paper). In this first paper we present results from 3D MHD simulations with our code CRONOS: for validation purposes we use analytic boundary conditions and compare with similar work by Pizzo. For a more realistic modeling of solar wind conditions, boundary conditions derived from synoptic magnetograms via the Wang-Sheeley-Arge (WSA) model are utilized, where the potential field modeling is performed with a finite-difference approach (FDIPS) in contrast to the traditional spherical harmonics expansion often utilized in the WSA model. Our results are validated by comparing with multi-spacecraft data for ecliptical (STEREO-A/B) and out-of-ecliptic (Ulysses) regions. ",1406.0293v1
"['Nina Dresing', 'Raúl Gómez-Herrero', 'Bernd Heber', 'Miguel Angel Hidalgo', 'Andreas Klassen', 'Manuela Temmer', 'Astrid Veronig']",2016-01-04T13:13:58Z,Injection of solar energetic particles into both loop legs of a magnetic   cloud,"  Each of the two STEREO spacecraft carries a SEPT Instrument which measures electrons and protons. Anisotropy observations are provided in four viewing directions. The SEP event on 7 Nov 2013 was observed by both STEREO spacecraft, which were longitudinally separated by 68{\deg} at that time. While STEREO A observed the expected characteristics of an SEP event at a well-connected position, STEREO B detected a very anisotropic bi-directional distribution of near-relativistic electrons and was situated inside a magnetic-cloud-like structure during the early phase of the event. We examine the source of the bi-directional SEP distribution at STEREO B. On the one hand this distribution could be caused by a double injection into both loop legs of the MC. On the other hand, a mirroring scenario where the incident beam is reflected in the opposite loop leg could be the reason. Furthermore, the energetic electron observations are used to probe the magnetic structure inside the magnetic cloud. We show that STEREO B was embedded in an MC-like structure ejected three days earlier. We apply a GCS model to the coronagraph observations from three viewpoints as well as the Global Magnetic Cloud model to the in situ measurements at STEREO B to determine the orientation and topology of the MC close to the Sun and at 1 AU. We also estimate the path lengths of the electrons propagating through the MC to estimate the amount of magnetic field line winding inside the structure. The relative intensity and timing of the energetic electron increases in the different SEPT telescopes at STEREO B strongly suggest that the bi-directional electron distribution is formed by SEP injections in both loop legs of the MC separately instead of by mirroring farther away beyond the STEREO orbit. Observations by the Nancay Radioheliograph of two distinct radio sources during the SEP injection further support the above scenario. ",1601.00491v1
"['Mateja Dumbović', 'Bojan Vršnak', 'Jingnan Guo', 'Bernd Heber', 'Karin Dissauer', 'Fernando Carcaboso', 'Manuela Temmer', 'Astrid Veronig', 'Tatiana Podladchikova', 'Christian Möstl', 'Tanja Amerstorfer', 'Anamarija Kirin']",2020-06-03T13:13:02Z,Evolution of coronal mass ejections and the corresponding Forbush   decreases: modelling vs multi-spacecraft observations,"  One of the very common in situ signatures of interplanetary coronal mass ejections (ICMEs), as well as other interplanetary transients, are Forbush decreases (FDs), i.e. short-term reductions in the galactic cosmic ray (GCR) flux. A two-step FD is often regarded as a textbook example, which presumably owes its specific morphology to the fact that the measuring instrument passed through the ICME head-on, encountering first the shock front (if developed), then the sheath and finally the CME magnetic structure. The interaction of GCRs and the shock/sheath region, as well as the CME magnetic structure, occurs all the way from Sun to Earth, therefore, FDs are expected to reflect the evolutionary properties of CMEs and their sheaths. We apply modelling to different ICME regions in order to obtain a generic two-step FD profile, which qualitatively agrees with our current observation-based understanding of FDs. We next adapt the models for energy dependence to enable comparison with different GCR measurement instruments (as they measure in different particle energy ranges). We test these modelling efforts against a set of multi-spacecraft observations of the same event, using the Forbush decrease model for the expanding flux rope (ForbMod). We find a reasonable agreement of the ForbMod model for the GCR depression in the CME magnetic structure with multi-spacecraft measurements, indicating that modelled FDs reflect well the CME evolution. ",2006.02253v1
"['Miikka Paassilta', 'Osku Raukunen', 'Rami Vainio', 'Eino Valtonen', 'Athanasios Papaioannou', 'Robert Siipola', 'Esa Riihonen', 'Mark Dierckxsens', 'Norma Crosby', 'Olga Malandraki', 'Bernd Heber', 'Karl-Ludwig Klein']",2017-07-03T12:07:41Z,Catalogue of 55-80 MeV solar proton events extending through solar   cycles 23 and 24,"  We present a new catalogue of solar energetic particle events near the Earth, covering solar cycle 23 and the majority of solar cycle 24 (1996-2016), based on the 55-80 MeV proton intensity data gathered by the SOHO/ERNE experiment. In addition to ERNE proton and heavy ion observations, data from the ACE/EPAM (near-relativistic electrons), SOHO/EPHIN (relativistic electrons), SOHO/LASCO (coronal mass ejections, CMEs), and GOES soft X-ray experiments are also considered and the associations between the particle and CME/X-ray events deduced to obtain a better understanding of each event. A total of 176 SEP events have been identified as having occurred during the time period of interest; their onset and solar release times have been estimated using both velocity dispersion analysis (VDA) and time-shifting analysis (TSA) for protons, as well as TSA for near-relativistic electrons. Additionally, a brief statistical analysis has been performed on the VDA and TSA results, as well as the X-rays and CMEs associated with the proton/electron events, both to test the viability of the VDA and to investigate possible differences between the two solar cycles. We find, in confirmation of a number of previous studies, that VDA results for protons that yield an apparent path length of 1 AU < s <~ 3 AU seem to be useful, but those outside this range are probably unreliable, as evidenced by the anticorrelation between apparent path length and release time estimated from the X-ray activity. It also appears that even the first-arriving energetic protons apparently undergo significant pitch angle scattering in the interplanetary medium, with the resulting apparent path length being on average about twice the length of the spiral magnetic field. The analysis indicates an increase in high-energy SEP events originating from the far eastern solar hemisphere; e.g., such an event... ",1707.00498v1
"['Konstantin Herbst', 'John Lee Grenfell', 'Miriam Sinnhuber', 'Heike Rauer', 'Bernd Heber', 'Saša Banjac', 'Markus Scheucher', 'Vanessa Schmidt', 'Stefanie Gebauer', 'Ralph Lehmann', 'Franz Schreier']",2019-09-25T17:25:53Z,A New Model Suite to Determine the Influence of Cosmic Rays on   (Exo)planetary Atmospheric Biosignatures -- Validation based on Modern Earth,"  The first opportunity to detect indications for life outside the Solar System may be provided already within the next decade with upcoming missions such as the James Webb Space Telescope (JWST), the European Extremely Large Telescope (E-ELT) and/or the Atmospheric Remote-sensing Infrared Exoplanet Large-survey (ARIEL) mission, searching for atmospheric biosignatures on planets in the habitable zone of cool K- and M-stars. Nevertheless, their harsh stellar radiation and particle environment could lead to photochemical loss of atmospheric biosignatures. We aim to study the influence of cosmic rays on exoplanetary atmospheric biosignatures and the radiation environment considering feedbacks between energetic particle precipitation, climate, atmospheric ionization, neutral and ion chemistry, and secondary particle generation. We describe newly-combined state-of-the-art modeling tools to study the impact of the radiation and particle environment on atmospheric particle interaction, the influence on the atmospheric chemistry, and the climate-chemistry coupling in a self-consistent model suite. To this end, models like the Atmospheric Radiation Interaction Simulator (AtRIS), the Exoplanetary Terrestrial Ion Chemistry model (ExoTIC), and the updated coupled climate-chemistry model are combined. Amongst others, we model the atmospheric response during quiescent solar periods and during a strong solar energetic particle event as well as the scenario-dependent terrestrial transit spectra, as seen by the NIR-Spec infrared spectrometer onboard the JWST. We find that the comparatively weak solar event drastically increases the spectral signal of HNO$_3$, while significantly suppressing the spectral feature of ozone. Because of the slow recovery after such events, the latter indicates that ozone might not be a good biomarker for planets orbiting stars with high flaring rates. ",1909.11632v1
"['Nat Gopalswamy', 'Joseph M. Davila', 'Frédéric Auchère', 'Jesper Schou', 'Clarence Korendike', 'Albert Shih', 'Janet C. Johnston', 'Robert J. MacDowall', 'Milan Maksimovic', 'Edward Sittler', 'Adam Szabo', 'Richard Wesenberg', 'Suzanne Vennerstrom', 'Bernd Heber']",2011-09-13T21:06:58Z,Earth-Affecting Solar Causes Observatory (EASCO): A mission at the   Sun-Earth L5,"  Coronal mass ejections (CMEs) and corotating interaction regions (CIRs) as well as their source regions are important because of their space weather consequences. The current understanding of CMEs primarily comes from the Solar and Heliospheric Observatory (SOHO) and the Solar Terrestrial Relations Observatory (STEREO) missions, but these missions lacked some key measurements: STEREO did not have a magnetograph; SOHO did not have in-situ magnetometer. SOHO and other imagers such as the Solar Mass Ejection Imager (SMEI) located on the Sun-Earth line are also not well-suited to measure Earth-directed CMEs. The Earth-Affecting Solar Causes Observatory (EASCO) is a proposed mission to be located at the Sun-Earth L5 that overcomes these deficiencies. The mission concept was recently studied at the Mission Design Laboratory (MDL), NASA Goddard Space Flight Center, to see how the mission can be implemented. The study found that the scientific payload (seven remote-sensing and three in-situ instruments) can be readily accommodated and can be launched using an intermediate size vehicle; a hybrid propulsion system consisting of a Xenon ion thruster and hydrazine has been found to be adequate to place the payload at L5. Following a 2-year transfer time, a 4-year operation is considered around the next solar maximum in 2025. ",1109.2929v1
"['Jingnan Guo', 'Cary Zeitlin', 'Robert F. Wimmer-Schweingruber', 'Scot Rafkin', 'Donald M. Hassler', 'Arik Posner', 'Bernd Heber', 'Jan Koehler', 'Bent Ehresmann', 'Jan K. Appel', 'Eckart Boehm', 'Stephan Boettcher', 'Soenke Burmeister', 'David E. Brinza', 'Henning Lohf', 'Cesar Martin', 'H. Kahanpaeae', 'Guenther Reitz']",2015-07-13T14:29:17Z,Modeling the variations of Dose Rate measured by RAD during the first   MSL Martian year: 2012-2014,"  The Radiation Assessment Detector (RAD), on board Mars Science Laboratory's (MSL) rover Curiosity, measures the {energy spectra} of both energetic charged and neutral particles along with the radiation dose rate at the surface of Mars. With these first-ever measurements on the Martian surface, RAD observed several effects influencing the galactic cosmic ray (GCR) induced surface radiation dose concurrently: [a] short-term diurnal variations of the Martian atmospheric pressure caused by daily thermal tides, [b] long-term seasonal pressure changes in the Martian atmosphere, and [c] the modulation of the primary GCR flux by the heliospheric magnetic field, which correlates with long-term solar activity and the rotation of the Sun. The RAD surface dose measurements, along with the surface pressure data and the solar modulation factor, are analysed and fitted to empirical models which quantitatively demonstrate} how the long-term influences ([b] and [c]) are related to the measured dose rates. {Correspondingly we can estimate dose rate and dose equivalents under different solar modulations and different atmospheric conditions, thus allowing empirical predictions of the Martian surface radiation environment. ",1507.03473v2
"['Jingnan Guo', 'Cary Zeitlin', 'Robert F. Wimmer-Schweingruber', 'Donald M. Hassler', 'Arik Posner', 'Bernd Heber', 'Jan Köhler', 'Scot Rafkin', 'Bent Ehresmann', 'Jan K. Appel', 'Eckart Böhm', 'Stephan Böttcher', 'Sönke Burmeister', 'David E. Brinza', 'Henning Lohf', 'Cesar Martin', 'Günther Reitz']",2015-03-23T13:23:56Z,Variations of dose rate observed by MSL/RAD in transit to Mars,"  Aims: To predict the cruise radiation environment related to future human missions to Mars, the correlation between solar modulation potential and the dose rate measured by the Radiation Assessment Detector (RAD) has been analyzed and empirical models have been employed to quantify this correlation. Methods: The instrument RAD, onboard Mars Science Laboratory's (MSL) rover Curiosity, measures a broad spectrum of energetic particles along with the radiation dose rate during the 253-day cruise phase as well as on the surface of Mars. With these first ever measurements inside a spacecraft from Earth to Mars, RAD observed the impulsive enhancement of dose rate during solar particle events as well as a gradual evolution of the galactic cosmic ray (GCR) induced radiation dose rate due to the modulation of the primary GCR flux by the solar magnetic field, which correlates with long-term solar activities and heliospheric rotation. Results: We analyzed the dependence of the dose rate measured by RAD on solar modulation potentials and estimated the dose rate and dose equivalent under different solar modulation conditions. These estimations help us to have approximate predictions of the cruise radiation environment, such as the accumulated dose equivalent associated with future human missions to Mars. Conclusions: The predicted dose equivalent rate during solar maximum conditions could be as low as one-fourth of the current RAD cruise measurement. However, future measurements during solar maximum and minimum periods are essential to validate our estimations. ",1503.06631v1
"['Daniel Pacheco', 'Neus Agueda', 'Angels Aran', 'Bernd Heber', 'David Lario', ' .']",2019-02-18T14:58:42Z,Full inversion of solar relativistic electron events measured by the   Helios spacecraft,"  Up to present, the largest data set of SEP events in the inner heliosphere are the observations by the two Helios spacecraft. We re-visit a sample of 15 solar relativistic electron events measured by the Helios mission with the goal of better characterising the injection histories of solar energetic particles and their interplanetary transport conditions at heliocentric distances <1 AU. The measurements provided by the E6 instrument on board Helios provide us with the electron directional distributions in eight different sectors that we use to infer the detailed evolution of the electron pitch-angle distributions. The results of a Monte Carlo interplanetary transport model, combined with a full inversion procedure, were used to fit the observed directional intensities in the 300-800 keV nominal energy channel. Unlike previous studies, we have considered both the energy and angular responses of the detector. This method allowed us to infer the electron release time profile at the source and determine the electron interplanetary transport conditions. We discuss the duration of the release time profiles and the values of the radial mean free path, and compare them with the values reported previously in the literature using earlier approaches. Five of the events show short injection histories (<30 min) at the Sun and ten events show long-lasting (>30 min) injections. The values of mean free path range from 0.02 AU to 0.27 AU. The inferred injection histories match with the radio and soft x-ray emissions found in literature. We find no dependence of the radial mean free path on the radial distance. In addition, we find no apparent relation between the strength of interplanetary scattering and the size of the solar particle release. ",1902.06602v2
"['Du Toit Strauss', 'Stepan Poluianov', 'Cobus van der Merwe', 'Hendrik Krüger', 'Corrie Diedericks', 'Helena Krüger', 'Ilya Usoskin', 'Bernd Heber', 'Rendani Nndanganeni', 'Juanjo Blanco-Ávalos', 'Ignacio García-Tejedor', 'Konstantin Herbst', 'Rogelio Caballero-Lopez', 'Katlego Moloto', 'Alejandro Lara', 'Michael Walter', 'Nigussie Mezgebe Giday', 'Rita Traversi']",2020-07-29T09:43:06Z,The mini-neutron monitor: A new approach in neutron monitor design,"  The near-Earth cosmic ray flux has been monitored for more than 70 years by a network of ground-based neutron monitors (NMs). With the ever-increasing importance of quantifying the radiation risk and effects of cosmic rays for, e.g., air and space-travel, it is essential to continue operating the existing NM stations, while expanding this crucial network. In this paper, we discuss a smaller and cost-effective version of the traditional NM, the mini-NM. These monitors can be deployed with ease, even to extremely remote locations, where they operate in a semi-autonomous fashion. We believe that the mini-NM, therefore, offers the opportunity to increase the sensitivity and expand the coverage of the existing NM network, making this network more suitable to near-real-time monitoring for space weather applications. In this paper, we present the technical details of the mini-NM's design and operation, and present a summary of the initial tests and science results. ",2007.14711v1
"['Johan L. Freiherr von Forstner', 'Jingnan Guo', 'Robert F. Wimmer-Schweingruber', 'Donald M. Hassler', 'Manuela Temmer', 'Mateja Dumbović', 'Lan K. Jian', 'Jan K. Appel', 'Jaša Čalogović', 'Bent Ehresmann', 'Bernd Heber', 'Henning Lohf', 'Arik Posner', 'Christian T. Steigies', 'Bojan Vršnak', 'Cary J. Zeitlin']",2017-12-19T12:34:20Z,Using Forbush decreases to derive the transit time of ICMEs propagating   from 1 AU to Mars,"  The propagation of 15 interplanetary coronal mass ejections (ICMEs) from Earth's orbit (1 AU) to Mars (~ 1.5 AU) has been studied with their propagation speed estimated from both measurements and simulations. The enhancement of magnetic fields related to ICMEs and their shock fronts cause the so-called Forbush decrease, which can be de- tected as a reduction of galactic cosmic rays measured on-ground. We have used galactic cosmic ray (GCR) data from in-situ measurements at Earth, from both STEREO A and B as well as GCR measurements by the Radiation Assessment Detector (RAD) instrument onboard Mars Science Laboratory (MSL) on the surface of Mars. A set of ICME events has been selected during the periods when Earth (or STEREO A or B) and Mars locations were nearly aligned on the same side of the Sun in the ecliptic plane (so-called opposition phase). Such lineups allow us to estimate the ICMEs' transit times between 1 and 1.5 AU by estimating the delay time of the corresponding Forbush decreases measured at each location. We investigate the evolution of their propagation speeds before and after passing Earth's orbit and find that the deceleration of ICMEs due to their interaction with the ambient solar wind may continue beyond 1 AU. We also find a substantial variance of the speed evolution among different events revealing the dynamic and diverse nature of eruptive solar events. Furthermore, the results are compared to simulation data obtained from two CME propagation models, namely the Drag-Based Model and ENLIL plus cone model. ",1712.07301v1
"['Jingnan Guo', 'Mateja Dumbović', 'Robert F. Wimmer-Schweingruber', 'Manuela Temmer', 'Henning Lohf', 'Yuming Wang', 'Astrid Veronig', 'Donald M. Hassler', 'Leila M. Mays', 'Cary Zeitlin', 'Bent Ehresmann', 'Oliver Witasse', 'Johan L. Freiherr von Forstner', 'Bernd Heber', 'Mats Holmström', 'Arik Posner']",2018-03-01T15:43:41Z,Modeling the evolution and propagation of the 2017 September 9th and   10th CMEs and SEPs arriving at Mars constrained by remote-sensing and in-situ   measurement,"  On 2017-09-10, solar energetic particles (SEPs) originating from the active region 12673 were registered as a ground level enhancement (GLE) at Earth and the biggest GLE on the surface of Mars as observed by the Radiation Assessment Detector (RAD) since the landing of the Curiosity rover in August 2012. Based on multi-point coronagraph images, we identify the initial 3D kinematics of an extremely fast CME and its shock front as well as another 2 CMEs launched hours earlier (with moderate speeds) using the Graduated Cylindrical Shell (GCS) model. These three CMEs interacted as they propagated outwards into the heliosphere and merged into a complex interplanetary CME (ICME). The arrival of the shock and ICME at Mars caused a very significant Forbush Decrease (FD) seen by RAD only a few hours later than that at Earth which is about 0.5 AU closer to the Sun. We investigate the propagation of the three CMEs and the consequent ICME together with the shock using the Drag Based Model (DBM) and the WSA-ENLIL plus cone model constrained by the in-situ SEP and FD/shock onset timing. The synergistic modeling of the ICME and SEP arrivals at Earth and Mars suggests that in order to better predict potentially hazardous space weather impacts at Earth and other heliospheric locations for human exploration missions, it is essential to analyze 1) the CME kinematics, especially during their interactions and 2) the spatially and temporally varying heliospheric conditions, such as the evolution and propagation of the stream interaction regions. ",1803.00461v4
"['Michael Bonitz', 'Andrea Scharnhorst']",2013-06-17T09:51:35Z,Remembering Manfred Bonitz (7.3.1931 -- 14.8.2012) on the first   anniversary of his death,  Biographical essay at the occasion of the first death anniversary of Manfred Bonitz ,1306.3789v1
"['Michael Bonitz', 'Anatoly Zagorodny']",2024-02-07T19:29:34Z,"Yuri Lvovich Klimontovich, his theory of fluctuations and its impact on   the kinetic theory",  Yuri L'vovich Klimontovich (28.09.1924--26.10.2002) was an outstanding theoretical physicist who made major contributions to kinetic theory. On the occasion of his 100th birthday we recall his main scientific achievements. ,2402.08689v1
"['Michael Bonitz', 'Antti-Pekka Jauho', 'Michael Sadovski', 'Sergei Tikhodeev']",2019-01-04T11:47:43Z,In memoriam Leonid V. Keldysh,"  Leonid Keldysh -- one of the most influential theoretical physicists of the 20th century -- passed away in November 2016. Keldysh is best known for the diagrammatic formulation of real-time (nonequilibrium) Green functions theory and for the theory of strong field ionization of atoms. Both theories profoundly changed large areas of theoretical physics and stimulated important experiments. Both these discoveries emerged almost simultaneously -- like Einstein, also Keldysh had his \textit{annus mirabilis} -- the year 1964. But the list of his theoretical developments is much broader and is briefly reviewed here. ",1901.01065v1
"['Torben Ott', 'Michael Bonitz', 'Zoltan Donko']",2015-06-11T10:00:20Z,The Effect of Correlations on the Heat Transport in a Magnetized Plasma,"  In a classical ideal plasma, a magnetic field is known to reduce the heat conductivity perpendicular to the field whereas it does not alter the one along the field. Here we show that, in strongly correlated plasmas that are observed at high pressure or/and low temperature, a magnetic field reduces the perpendicular heat transport much less and even {\it enhances} the parallel transport. These surprising observations are explained by the competition of kinetic, potential and collisional contributions to the heat conductivity. Our results are based on first principle molecular dynamics simulations of a one-component plasma. ",1506.03605v1
"['Miriam Scharnke', 'Niclas Schlünzen', 'Michael Bonitz']",2016-12-23T16:48:03Z,Time Reversal Invariance of quantum kinetic equations: Nonequilibrium   Green Functions Formalism,"  Time reversal symmetry is a fundamental property of many quantum mechanical systems. The relation between statistical physics and time reversal is subtle and not all statistical theories conserve this particular symmetry, most notably hydrodynamic equations and kinetic equations such as the Boltzmann equation. In this article it is shown analytically that quantum kinetic generalizations of the Boltzmann equation that are derived using the nonequilibrium Green functions formalism as well as all approximations that stem from $\Phi$-derivable selfenergies are time reversal invariant. ",1612.08033v1
"['Karsten Balzer', 'Michael Bonitz']",2021-03-09T15:51:57Z,Neutralization dynamics of slow highly charged ions passing through   graphene nanoflakes--an embedding self-energy approach,"  We study the time-dependent neutralization of a slow highly charged ion that penetrates a hexagonal hollow-centred graphene nanoflake. To compute the ultrafast charge transfer dynamics, we apply an effective Hubbard nanocluster model and use the method of nonequilibrium Green functions (NEGF) in conjunction with an embedding self-energy scheme which allows one to follow the temporal changes of the number of electrons in the nanoflake. We perform extensive simulations of the charge transfer dynamics for a broad range of ion charge states and impact velocities. The results are used to put forward a simple semi-analytical model of the neutralization dynamics that is in very good agreement with transmission experiments, in which highly charged xenon ions pass through sheets of single-layer graphene. ",2103.05507v1
"['Hanno Kählert', 'Michael Bonitz']",2023-01-09T15:24:04Z,Dynamic structure factor and excitation spectrum of the one-component   plasma: the case of weak to moderate magnetization,"  Magnetized plasmas are well known to exhibit a rich spectrum of collective modes. Here, we focus on the density modes in dense or cold plasmas, where strong coupling effects alter the mode spectrum known from traditional weakly coupled plasmas. In particular, we study the dynamic structure factor (DSF) of the magnetized one-component plasma with molecular dynamics simulations. Extending our previous results [H.~K\""ahlert and M.~Bonitz, Phys. Rev. Research \textbf{2022}, 4, 013197], it is shown that Bernstein modes can be observed in the weakly magnetized regime, where they are found below the upper hybrid frequency, provided the coupling strength is sufficiently low. We investigate the DSF for a variety of different wave numbers and plasma parameters and show that even small magnetization can give rise to a strong zero-frequency mode perpendicular to the magnetic field and change the dispersion as well as the damping of the upper hybrid mode. ",2301.03425v1
"['Erik Schroedter', 'Michael Bonitz']",2023-12-22T20:01:14Z,Two-Time Quantum Fluctuations Approach and its Relation to the   Bethe--Salpeter Equation,"  Correlated quantum many-particle systems out of equilibrium are of high interest in many fields, including correlated solids, ultracold atoms or dense plasmas. Accurate theoretical description of these systems is challenging both, conceptionally and with respect to computational resources. We have recently presented a quantum fluctuations approach which is equivalent to the nonequilibrium $GW$ approximation [E. Schroedter \textit{et al.}, Cond. Matt. Phys. \textbf{25}, 23401 (2022)] that promises high accuracy at low computational cost. In a second publication [E. Schroedter \textit{et al.}, Phys. Rev. B \textbf{108}, 205109 (2023)], this approach was extended to the two-time exchange-correlation functions and the density response properties. Here, we analyze the properties of this approach in more detail. We demonstrate that the method is equivalent to the Bethe--Salpeter equation for the two-time exchange-correlation function when the generalized Kadanoff-Baym ansatz with Hartree-Fock propagators is applied. ",2312.15034v2
"['Jan Willem Abraham', 'Karsten Balzer', 'David Hochstuhl', 'Michael Bonitz']",2012-03-09T09:03:30Z,Quantum Breathing Mode of Interacting Particles in a One-dimensional   Harmonic Trap,"  Extending our previous work, we explore the breathing mode---the [uniform] radial expansion and contraction of a spatially confined system. We study the breathing mode across the transition from the ideal quantum to the classical regime and confirm that it is not independent of the pair interaction strength (coupling parameter). We present the results of time-dependent Hartree-Fock simulations for 2 to 20 fermions with Coulomb interaction and show how the quantum breathing mode depends on the particle number. We validate the accuracy of our results, comparing them to exact Configuration Interaction results for up to 8 particles. ",1203.2019v1
"['Erik Schroedter', 'Björn Jakob Wurst', 'Jan-Philip Joost', 'Michael Bonitz']",2023-05-30T11:43:03Z,Quantum Fluctuations Approach to the Nonequilibrium $GW$-Approximation   II: Density Correlations and Dynamic Structure Factor,"  The quantum dynamics of correlated fermionic or bosonic many-body systems following external excitation can be successfully studied using nonequilibrium Green functions (NEGF) or reduced density matrix methods. Approximations are introduced via a proper choice of the many-particle selfenergy or decoupling of the BBGKY-hierarchy, respectively. These approximations are based on Feynman's diagram approaches or on cluster expansions into single-particle and correlation operators. In a recent paper [E. Schroedter, J.-P. Joost, and M. Bonitz, Cond. Matt. Phys. \textbf{25}, 23401 (2022)] we have presented a different approach where, instead of equations of motion for the many-particle NEGF (or density operators), equations for the correlation functions of fluctuations are analyzed. In particular, we derived the stochastic GW and polarization approximations that are closely related to the nonequilibrium GW approximation. Here, we extend this approach to the computation of two-time observables depending on the specific ordering of the underlying operators. In particular, we apply this extension to the calculation of the density correlation function and dynamic structure factor of correlated Hubbard clusters in and out of equilbrium. ",2305.18956v1
"['Shabbir A. Khan', 'Michael Bonitz']",2013-10-01T13:25:54Z,Quantum Hydrodynamics,"  Quantum plasma physics is a rapidly evolving research field with a very inter-disciplinary scope of potential applications, ranging from nano-scale science in condensed matter to the vast scales of astrophysical objects. The theoretical description of quantum plasmas relies on various approaches, microscopic or macroscopic, some of which have obvious relation to classical plasma models. The appropriate model should, in principle, incorporate the quantum mechanical effects such as diffraction, spin statistics and correlations, operative on the relevant scales. However, first-principle approaches such as quantum Monte Carlo and density functional theory or quantum-statistical methods such as quantum kinetic theory or non-equilibrium Green's functions require substantial theoretical and computational efforts. Therefore, for selected problems, alternative simpler methods have been put forward. In particular, the collective behavior of many-body systems is usually described within a self-consistent scheme of particles and fields on the mean-field level. In classical plasmas, further simplifications are achieved by a transition to hydrodynamic equations. % Similar fluid-type descriptions for quantum plasmas have been proposed and widely used in the recent decade. This chapter is devoted to an overview of the main concepts of quantum hydrodynamics (QHD), thereby critically analyzing its validity range and its main limitations. Furthermore, the results of the linearized QHD in unmagnetized and magnetized plasmas and a few nonlinear solutions are examined with illustrations. The basic concepts and formulation of particle-particle interactions are also reviewed at the end, indicating their possible consequences in quantum many-body problems. ",1310.0283v1
"['Erik Schroedter', 'Michael Bonitz']",2024-02-07T19:43:35Z,Classical and Quantum Theory of Fluctuations for Many-Particle Systems   out of Equilibrium,"  Correlated classical and quantum many-particle systems out of equilibrium are of high interest in many fields, including dense plasmas, correlated solids, and ultracold atoms. Accurate theoretical description of these systems is challenging both, conceptionally and with respect to computational resources. While for classical systems, in principle, exact simulations are possible via molecular dynamics, this is not the case for quantum systems. Alternatively, one can use many-particle approaches such as hydrodynamics, kinetic theory or nonequilibrium Green functions (NEGF). However, NEGF exhibit a very unfavorable cubic scaling of the CPU time with the number of time steps. An alternative is the G1--G2 scheme [N. Schl\""unzen et al., Phys. Rev. Lett. \textbf{124}, 076601 (2020)] which allows for NEGF simulations with time linear scaling, however, at the cost of large memory consumption. The reason is the need to store the two-particle correlation function. This problem can be overcome for a number of approximations by reformulating the kinetic equations in terms of fluctuations -- an approach that was developed, for classical systems, by Yu.L. Klimontovich [JETP \textbf{33}, 982 (1957)]. Here we present an overview of his ideas and extend them to quantum systems. In particular, we demonstrate that this quantum fluctuations approach can reproduce the nonequilibrium $GW$ approximation [E. Schroedter \textit{et al.}, Cond. Matt. Phys. \textbf{25}, 23401 (2022)] promising high accuracy at low computational cost which arises from an effective semiclassical stochastic sampling procedure. We also demonstrate how to extend the approach to the two-time exchange-correlation functions and the density response properties. [E. Schroedter \textit{et al.}, Phys. Rev. B \textbf{108}, 205109 (2023)]. ",2402.05214v1
